Aug 23, 2017 7:27:23 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Aug 23, 2017 7:27:23 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Aug 23, 2017 7:27:23 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /opt/distribution-karaf-0.5.3-Boron-SR3/lock
Aug 23, 2017 7:27:23 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Aug 23, 2017 7:27:23 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2017-08-23 07:27:52,368 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-broker 1.4.3-Boron-SR3
2017-08-23 07:27:52,368 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-remoterpc-connector 1.4.3-Boron-SR3
2017-08-23 07:27:52,368 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-broker-local 1.4.3-Boron-SR3
2017-08-23 07:27:52,368 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-binding-dom-adapter 2.1.3-Boron-SR3
2017-08-23 07:27:52,368 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-binding-runtime 2.1.3-Boron-SR3
2017-08-23 07:27:52,368 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-yangtools-yang-data 1.0.3-Boron-SR3
2017-08-23 07:27:52,368 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-yangtools-yang-parser 1.0.3-Boron-SR3
2017-08-23 07:27:52,448 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-binding-api 2.1.3-Boron-SR3
2017-08-23 07:27:52,448 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-common 2.1.3-Boron-SR3
2017-08-23 07:27:52,458 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-dom-api 2.1.3-Boron-SR3
2017-08-23 07:27:52,469 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-common 1.4.3-Boron-SR3
2017-08-23 07:27:52,470 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-config-api 0.5.3-Boron-SR3
2017-08-23 07:27:52,609 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-config-startup 0.5.3-Boron-SR3
2017-08-23 07:27:52,609 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-config-persister 0.5.3-Boron-SR3
2017-08-23 07:27:52,610 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-config-core 0.5.3-Boron-SR3
2017-08-23 07:27:52,622 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-config-manager 0.5.3-Boron-SR3
2017-08-23 07:27:52,703 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-config-netty 0.5.3-Boron-SR3
2017-08-23 07:27:52,703 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-config-netty-config-api 0.5.3-Boron-SR3
2017-08-23 07:27:52,703 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-netty 4.0.43.Final
2017-08-23 07:27:52,749 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-lmax 3.3.4
2017-08-23 07:27:52,752 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-dom 2.1.3-Boron-SR3
2017-08-23 07:27:52,752 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-dom-broker 2.1.3-Boron-SR3
2017-08-23 07:27:52,758 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-eos-dom 2.1.3-Boron-SR3
2017-08-23 07:27:52,758 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-eos-common 2.1.3-Boron-SR3
2017-08-23 07:27:52,764 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-eos-binding 2.1.3-Boron-SR3
2017-08-23 07:27:52,769 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-singleton-dom 2.1.3-Boron-SR3
2017-08-23 07:27:52,769 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-singleton-common 2.1.3-Boron-SR3
2017-08-23 07:27:52,823 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-clustering-commons 1.4.3-Boron-SR3
2017-08-23 07:27:52,824 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-akka-system 2.4.7
2017-08-23 07:27:52,825 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-akka-scala 2.11
2017-08-23 07:27:52,911 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-akka-persistence 2.4.7
2017-08-23 07:27:52,911 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-akka-leveldb 0.7
2017-08-23 07:27:53,117 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-akka-clustering 2.4.7
2017-08-23 07:27:53,175 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-mdsal-distributed-datastore 1.4.3-Boron-SR3
2017-08-23 07:27:53,218 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature war 3.0.7
2017-08-23 07:27:53,219 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature http 3.0.7
2017-08-23 07:27:53,219 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature pax-http 3.2.9
2017-08-23 07:27:53,221 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature pax-jetty 8.1.19.v20160209
2017-08-23 07:27:53,316 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature pax-war 3.2.9
2017-08-23 07:27:53,317 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature pax-http-whiteboard 3.2.9
2017-08-23 07:27:53,996 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-neutron-transcriber 0.7.3-Boron-SR3
2017-08-23 07:27:54,010 | INFO  | h for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.7 | Installing feature odl-netvirt-impl 0.3.3-Boron-SR3
